param_model__C,param_model__class_weight,param_model__gamma,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
100.0,balanced,0.01,8,0.8109090909090908,0.07379366601685027,-0.5208599290780141,0.16061876109219939,0.8996755910755911,0.04013847488590041,0.93348223615465,-0.1757516012252854,0.9814774072476076,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 0.01}",0.5208599290780141,0.16061876109219939,0.1757516012252854
0.1,balanced,1.0,1,1.0,0.0,-0.5400709219858156,0.007877609890611021,0.8463306693306695,0.050637828644946904,1.0,-0.5400835421888054,1.0,"{'model__C': 0.1, 'model__class_weight': 'balanced', 'model__gamma': 1.0}",0.5400709219858156,0.007877609890611021,0.5400835421888054
100.0,,0.01,14,0.7944155844155845,0.07624640066791558,-0.5520833333333334,0.16709422603384416,0.8992450882450881,0.038869833849687944,0.9240752351097177,-0.19283709273182958,0.9809691476493205,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 0.01}",0.5520833333333334,0.16709422603384416,0.19283709273182958
10.0,balanced,0.1,13,0.7961904761904762,0.08114471214527558,-0.5702393617021277,0.1750642592308386,0.8795632367632367,0.037845574664918634,0.9912878787878789,-0.020472848788638264,0.9999461724712814,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 0.1}",0.5702393617021277,0.1750642592308386,0.020472848788638264
1.0,,0.01,22,0.7742424242424242,0.08283711257117837,-0.5710283687943263,0.19493702303062094,0.9129807525807527,0.04364904207130473,0.8050287356321839,-0.48944583681425785,0.9323758867152789,"{'model__C': 1.0, 'model__class_weight': None, 'model__gamma': 0.01}",0.5710283687943263,0.19493702303062094,0.48944583681425785
10.0,balanced,scale,15,0.7934199134199134,0.08174389077763718,-0.5761613475177305,0.17616590433290177,0.8786265068265068,0.03800259402595944,0.9912878787878789,-0.020050125313283207,0.9999596294777865,"{'model__C': 10.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5761613475177305,0.17616590433290177,0.020050125313283207
10.0,,0.1,16,0.7915584415584415,0.08373826395238432,-0.5795833333333333,0.18179862342168385,0.8787692307692307,0.03851017299805492,0.9908281086729364,-0.021105541631857423,0.9999551656902628,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 0.1}",0.5795833333333333,0.18179862342168385,0.021105541631857423
10.0,,scale,17,0.7897402597402597,0.0846162671730577,-0.5846808510638298,0.1851753424441912,0.8784690642690642,0.03836738456201783,0.9912878787878789,-0.020050125313283207,0.9999686226967682,"{'model__C': 10.0, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5846808510638298,0.1851753424441912,0.020050125313283207
100.0,,scale,18,0.7868398268398268,0.09195873116907617,-0.5899113475177306,0.20083744619661678,0.8703856809856808,0.03951145873692045,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 'scale'}",0.5899113475177306,0.20083744619661678,-0.0
100.0,balanced,scale,18,0.7868398268398268,0.09195873116907617,-0.5899113475177306,0.20083744619661678,0.8703856809856808,0.03951145873692045,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__gamma': 'scale'}",0.5899113475177306,0.20083744619661678,-0.0
100.0,,0.1,18,0.7868398268398268,0.08922186094019435,-0.5903280141843972,0.19406442042219935,0.8699583083583083,0.04020661663544799,1.0,0.0,1.0,"{'model__C': 100.0, 'model__class_weight': None, 'model__gamma': 0.1}",0.5903280141843972,0.19406442042219935,-0.0
