param_model__C,param_model__class_weight,param_model__penalty,param_model__solver,rank_test_recall_condition_1,mean_test_recall_condition_1,std_test_recall_condition_1,mean_test_neg_medical_cost,std_test_neg_medical_cost,mean_test_roc_auc,std_test_roc_auc,mean_train_recall_condition_1,mean_train_neg_medical_cost,mean_train_roc_auc,params,mean_test_medical_cost,std_test_medical_cost,mean_train_medical_cost
1.0,,l2,liblinear,11,0.8250216450216449,0.07612694123846149,-0.4653989361702127,0.17898234510922226,0.9191287379287378,0.03893398186012771,0.8596421107628005,-0.36612531328320796,0.9488305582857466,"{'model__C': 1.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.4653989361702127,0.17898234510922226,0.36612531328320796
1.0,,l2,lbfgs,12,0.824112554112554,0.07593153805101853,-0.46673758865248227,0.17947455744416865,0.9191989343989343,0.038530594548411894,0.8596421107628005,-0.3658095238095238,0.9489494309963895,"{'model__C': 1.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.46673758865248227,0.17947455744416865,0.3658095238095238
100.0,balanced,l2,liblinear,13,0.8240692640692641,0.07667721345882783,-0.48958333333333337,0.18193064581579535,0.907857942057942,0.04088311668679716,0.8798223615464994,-0.3283826232247285,0.9515329818001197,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.48958333333333337,0.18193064581579535,0.3283826232247285
100.0,balanced,l2,lbfgs,13,0.8240692640692641,0.07667721345882783,-0.49000886524822695,0.18150612768784144,0.9076817182817182,0.040910702944220716,0.8795924764890282,-0.328911723753829,0.9515440244028341,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.49000886524822695,0.18150612768784144,0.328911723753829
100.0,balanced,l1,liblinear,15,0.823116883116883,0.07714625808139186,-0.4929698581560284,0.18480940540259388,0.9076442224442224,0.04102029433072453,0.8798223615464995,-0.3282801448064606,0.9515508737506021,"{'model__C': 100.0, 'model__class_weight': 'balanced', 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.4929698581560284,0.18480940540259388,0.3282801448064606
10.0,,l1,liblinear,16,0.8222077922077922,0.07590216258127899,-0.48108156028368787,0.18123233346792916,0.9115090909090909,0.04057522924083104,0.8649085684430513,-0.3564399888610415,0.9510956872730933,"{'model__C': 10.0, 'model__class_weight': None, 'model__penalty': 'l1', 'model__solver': 'liblinear'}",0.48108156028368787,0.18123233346792916,0.3564399888610415
10.0,,l2,liblinear,17,0.8194805194805194,0.07621629826101785,-0.48657801418439717,0.1807559555576075,0.9117262071262071,0.04091307030881777,0.8665151515151516,-0.35190921748816484,0.9511473811253004,"{'model__C': 10.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.48657801418439717,0.1807559555576075,0.35190921748816484
10.0,,l2,lbfgs,17,0.8194805194805194,0.07621629826101785,-0.48657801418439717,0.1807559555576075,0.9115858141858141,0.040811708215638356,0.8662852664576802,-0.3522244500139237,0.9511226403243527,"{'model__C': 10.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.48657801418439717,0.1807559555576075,0.3522244500139237
0.01,balanced,l2,lbfgs,19,0.8165800865800865,0.09683123424617998,-0.511258865248227,0.235439462988594,0.8949581085581086,0.05174521676981777,0.8332706374085685,-0.4660250626566416,0.910772089780612,"{'model__C': 0.01, 'model__class_weight': 'balanced', 'model__penalty': 'l2', 'model__solver': 'lbfgs'}",0.511258865248227,0.235439462988594,0.4660250626566416
100.0,,l2,liblinear,20,0.8148484848484847,0.07434453367161535,-0.49927304964539004,0.17784186794301587,0.9079384615384616,0.040939732058108205,0.867432079414838,-0.3503247006404901,0.9513400306557172,"{'model__C': 100.0, 'model__class_weight': None, 'model__penalty': 'l2', 'model__solver': 'liblinear'}",0.49927304964539004,0.17784186794301587,0.3503247006404901
